"word","part_of_speech"
"0","nm"
"0th","pt"
"1","n1"
"1st","p"
"1th","tc"
"2","nm"
"2nd","p"
"2th","tc"
"3","nm"
"3rd","p"
"3th","tc"
"4","nm"
"4th","pt"
"5","nm"
"5th","pt"
"6","nm"
"6th","pt"
"7","nm"
"7th","pt"
"8","nm"
"8th","pt"
"9","nm"
"9th","pt"
"A","SM"
"AA","M"
"AAA",NA
"AB","M"
"ABA",NA
"ABC","SM"
"ABM","SM"
"ABS",NA
"AC","M"
"ACLU","M"
"ACT",NA
"ACTH","M"
"AD","M"
"ADC",NA
"ADD",NA
"ADM",NA
"ADP","M"
"AF",NA
"AFAIK",NA
"AFB",NA
"AFC","M"
"AFDC",NA
"AFN",NA
"AFT",NA
"AI","SM"
"AIDS","M"
"AK",NA
"AL",NA
"AM","M"
"AMA",NA
"AMD","M"
"ANSI","S"
"ANZUS","M"
"AOL","M"
"AP","M"
"APB",NA
"APC",NA
"API",NA
"APO",NA
"APR",NA
"AR",NA
"ARC",NA
"ASAP",NA
"ASCII","SM"
"ASL","M"
"ASPCA",NA
"ATM","M"
"ATP","M"
"ATV",NA
"AV",NA
"AVI",NA
"AWACS","M"
"AWOL","M"
"AWS","M"
"AZ","M"
"AZT","M"
"Aachen","M"
"Aaliyah","M"
"Aaron","M"
"Abbas","M"
"Abbasid","M"
"Abbott","M"
"Abby","M"
"Abdul","M"
"Abe","M"
"Abel","M"
"Abelard","M"
"Abelson","M"
"Aberdeen","M"
"Abernathy","M"
"Abidjan","M"
"Abigail","M"
"Abilene","M"
"Abner","M"
"Aborigine","MS"
"Abraham","M"
"Abram","MS"
"Abrams","M"
"Absalom","M"
"Abuja","M"
"Abyssinia","M"
"Abyssinian","M"
"Ac","M"
"Acadia","M"
"Acapulco","M"
"Accenture","M"
"Accra","M"
"Acevedo","M"
"Achaean","M"
"Achebe","M"
"Achernar","M"
"Acheson","M"
"Achilles","M"
"Aconcagua","M"
"Acosta","M"
"Acropolis",NA
"Acrux","M"
"Actaeon","M"
"Acton","M"
"Acts","M"
"Acuff","M"
"Ada","SM"
"Adam","SM"
"Adams","M"
"Adan","M"
"Adana","M"
